Title,Abstract,Keywords,Links,Citation
"Quantitative Assessment of Syllabic Timing Deficits in Ataxic Dysarthria,","Parametric analysis of Cerebellar Dysarthria (CD) may be valuable and more informative compared to its clinical assessment. A quantifiable estimation of the timing deficits in repeated syllabic utterance is described in the current study. Thirty-five individuals were diagnosed with cerebellar ataxia to varying degrees and twenty-six age-matched healthy controls were recruited. To automatically detect the local maxima of each syllable in the recorded speech files, a topographic prominence incorporated concept is designed. Subsequently, four acoustic features and eight corresponding parametric measurements are extracted to identify articulatory deficits in ataxic dysarthria. A comparative study on the behaviour of these measures for dysarthric and non-dysarthric subjects is presented in this paper. The results are further explored using a dimensionreduction tool (Principal Component Analysis) to emphasize variation and bring out the strongest discriminating patterns in our feature dataset.","keywords: {Feature extraction;Principal component analysis;Acoustic measurements;Timing;Eigenvalues and eigenfunctions;Rhythm;dysarthria;speech disorder;repeated syllable;cerebellar ataxia;topographic prominence},",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8512311&isnumber=8512178,"B. Kashyap, P. N. Pathirana, M. Horne, L. Power and D. Szmulewicz, ""Quantitative Assessment of Syllabic Timing Deficits in Ataxic Dysarthria,"" 2018 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC), Honolulu, HI, USA, 2018, pp. 425-428, doi: 10.1109/EMBC.2018.8512311."
"Non-invasive stroke diagnosis using speech data from dysarthria patients,","Acute Ischemic Stroke (AIS) is a major cause of disability and can lead to death in severe cases. A common symptom of AIS, dysarthria, significantly impacts the quality of life of patients. In this study, we developed a deep learning model using dysarthria data for cost-effective and non-invasive brain stroke diagnosis. We utilized models such as ResNet50, InceptionV4, ResNeXt50, SEResNeXt18, and AttResNet50 to effectively extract and classify speech features indicative of stroke symptoms. These models demonstrated high performance, with Sensitivity, Specificity, Precision, Accuracy, and F1-score values reaching 96.77%, 96.08%, 92.82%, 95.52%, and 93.82%, respectively. Our approach offers a non-invasive, cost-effective alternative for early stroke detection, with potential for further accuracy improvements through additional research. This method promises rapid, economical early diagnosis, which could positively impact long-term treatment and healthcare options.","keywords: {Deep learning;Accuracy;Sensitivity;Medical services;Learning (artificial intelligence);Stroke (medical condition);Brain modeling;Feature extraction;Data models;Residual neural networks;Artificial intelligence;Stroke;Dysarthria;Diagnosis;Deep learning},",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10781716&isnumber=10781494,"S. B. Mun, Y. J. Kim and K. G. Kim, ""Non-invasive stroke diagnosis using speech data from dysarthria patients,"" 2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC), Orlando, FL, USA, 2024, pp. 1-4, doi: 10.1109/EMBC53108.2024.10781716."
"Fine-Tuning Pre-Trained Audio Models for Dysarthria Severity Classification: A Second Place Solution in the Multimodal Dysarthria Severity Classification Challenge,","Dysarthria, a neurological disorder affecting speech, poses significant challenges for automatic diagnosis and severity classification due to its complexity and the scarcity of relevant datasets. This study addresses these challenges by leveraging the dataset provided by the ISCSLP 2024 Multimodal Dysarthria Severity Classification Challenge. Our approach primarily involves two key steps: splitting the training set into training and validation subsets, and fine-tuning pre-trained au-dio models to adapt them to the task. To ensure robust evaluation and prevent label leakage, we employed the StratifiedGroupKFold function from sklearn for dataset splitting, ensuring that training and validation sets do not share participants. This method allowed us to maintain consistent statistical distributions across folds. For model finetuning, we selected two pre-trained audio models, w2v-bert-2.0 and whisper-Iarge-v3, and fine-tuned them on different folds of the dataset. Our results indicate that the w2v-bert-2.0 model fine-tuned on fold-2 achieved the highest performance, with a validation Fl-score of 0.699 and an online score of 7.7452. The experimental results, including confusion matrices and embedding distributions, highlight the model's ability to distinguish between different severity levels of dysarthria. Our approach achieved a commendable second place in the competition’ demonstrating the effectiveness of fine-tuning pre-trained audio models for this task. Future work will explore the integration of multimodal data and multi-task learning strategies to further enhance model performance.","keywords: {Training;Neurological diseases;Adaptation models;Magnetic resonance imaging;Statistical distributions;Metadata;Multitasking;Complexity theory;Optimization;Overfitting;Dysarthria Severity Classification;Dataset Splitting;Pre-trained Audio Models;Fine-Tuning},",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10800228&isnumber=10799969,"W. Dai, M. Li, Y. He and Y. Zhu, ""Fine-Tuning Pre-Trained Audio Models for Dysarthria Severity Classification: A Second Place Solution in the Multimodal Dysarthria Severity Classification Challenge,"" 2024 IEEE 14th International Symposium on Chinese Spoken Language Processing (ISCSLP), Beijing, China, 2024, pp. 151-153, doi: 10.1109/ISCSLP63861.2024.10800228."
"Automated Detection and Severity Assessment of Dysarthria using Raw Speech,","Dysarthria is a medical condition that impairs an individual’s ability to speak clearly due to muscle weakness or paralysis. To diagnose and monitor dysarthria severity, this article proposes the use of a deep learning model that utilizes raw speech waveforms. This approach eliminates the need for feature engineering and enhances the model’s ability to handle noise and speech variability. The proposed system was compared to a standard convolutional neural network (CNN) model and was found to perform better in both dysarthria severity classification and dysarthria/healthy control classification tasks. The results indicate that the SincNet model achieved an accuracy of 95.7% and 99.6% in these tasks, respectively. The proposed system can aid clinicians in diagnosing and monitoring dysarthria severity and could have broader applications in speech-related disorders. The study emphasizes the importance of using raw waveform-based models for speech analysis and demonstrates the effectiveness of SincNet in automatic dysarthria/healthy control classification and dysarthria severity assessment.","keywords: {Deep learning;Speech analysis;Neural networks;Speech enhancement;Muscles;Paralysis;Convolutional neural networks;Dysarthria severity level assessment;Speech-related disorders;Deep learning;SincNet;Raw waveforms},",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10307923&isnumber=10306339,"K. Radha and M. Bansal, ""Automated Detection and Severity Assessment of Dysarthria using Raw Speech,"" 2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT), Delhi, India, 2023, pp. 1-7, doi: 10.1109/ICCCNT56998.2023.10307923."
"Investigation on articulatory and acoustic characteristics of dysarthria,","Direct measurement of articulation contributes to figure out the mechanism of dysarthric speech production accurately, comparing to analyzing acoustic signal alone. This study makes a statistical comparison between dysarthric and normal speech, and investigates and analyzes dysarthric characteristics based on articulatory and acoustic data of continuous English utterance. The distribution of the articulatory point is calculated for each vowel, where the vowels show a relatively smaller region for dysarthria than for normal speech. This implies that the speakers with dysarthria may have some difficulties to fully use the articulatory space as the speakers without dysarthria. The rhythm and sound source are analyzed using autocorrelation function, power spectrum and linear prediction coding. The results reveal that the speakers without dysarthria can keep steady rhythm and energy in uttering consonant-vowel repetition sequences but it is hard for the speakers with dysarthria to maintain the stability. Meanwhile, the dysarthric sound source shows unstable period of the fundamental frequency, which reflects that the speakers with dysarthria could not control the glottis movement well.","keywords: {Speech;Speech recognition;Rhythm;Correlation;Standards;Tongue;dysarthria;speech analysis;articulator movement},",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6936631&isnumber=6936571,"C. Zhang, J. Dang, J. Zhang and J. Wei, ""Investigation on articulatory and acoustic characteristics of dysarthria,"" The 9th International Symposium on Chinese Spoken Language Processing, Singapore, 2014, pp. 326-330, doi: 10.1109/ISCSLP.2014.6936631."
"Evolving Diagnostic Techniques for Speech Disorders: Investigating Dysarthria Classification Through DenseNet201 CNN Framework,","The primary subject of this research work pertains to dysarthria, a prevalent speech impairment observed in individuals diagnosed with cerebral palsy (CP) or amyotrophic lateral sclerosis (ALS). Prompt detection of dysarthria is essential for effective therapies and improved patient results, as it significantly impacts communication proficiency. The research employed a DenseNet201 Convolutional Neural Network (CNN) to categorize speech using the TORGO database, which has 2000 samples of individuals with and without dysarthria, representing various genders. The dataset comprises individuals of both genders, encompassing both dysarthric and non-dysarthric individuals. Each dataset consists of 500 samples, which were collected during distinct sessions. The DenseNet201 convolutional neural network (CNN) technique has a notable accuracy rate of 96% in distinguishing between cases of dysarthria and non-dysarthria. This outcome underscores the potential of deep learning technology in aiding the timely identification of dysarthria and facilitating fast interventions for affected individuals. This work provides valuable insights on the progress of diagnostic capabilities and offers a potential avenue for enhancing the well-being of those experiencing speech impairments.","keywords: {Deep learning;Databases;Computational modeling;Medical treatment;Speech enhancement;Robustness;Telecommunication computing;Artificial Intelligence;Deep Learning;DenseNet201 Convolutional Neural Network (CNN) model;Model Training;Dysarthria Classification},",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10550236&isnumber=10550194,"K. Mittal, K. S. Gill, S. Malhotra and S. Devliyal, ""Evolving Diagnostic Techniques for Speech Disorders: Investigating Dysarthria Classification Through DenseNet201 CNN Framework,"" 2024 International Conference on Communication, Computing and Internet of Things (IC3IoT), Chennai, India, 2024, pp. 1-6, doi: 10.1109/IC3IoT60841.2024.10550236."
"Analysis of Features for Dysarthria Severity Classification from Speech,","Dysarthria is a disorder that affects the ability of an individual to speak clearly. Diagnosis of the severity of dysarthria can aid in providing appropriate therapy to the individual. Therefore, the current work focuses on identifying features that can be used to estimate the severity of dysarthria. In this regard, two feature sets are considered, namely DisVoice and OpenSMILE, and the genetic algorithm is used to identify the most suitable list of features from both feature sets using 3 speech corpora, namely SSN-TDSC, Torgo, and UA Speech corpora. In order to test the effectiveness of these features, classifiers are trained on each feature set as a whole and on the features identified by the genetic algorithm, and their performance compared. It is observed that articulatory and prosodic features are most important in the diagnosis of severity of dysarthria. A maximum accuracy of 85% is obtained with the shortlisted DisVoice features and 97% with the OpenSMILE features.","keywords: {Accuracy;Medical treatment;Classification algorithms;Genetic algorithms;IEEE Regions;dysarthria;feature selection;genetic algorithm;severity classification},",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10902941&isnumber=10902666,"P. H. Keerthi, P. Vijayalakshmi, A. R. Gladston and T. Nagarajan, ""Analysis of Features for Dysarthria Severity Classification from Speech,"" TENCON 2024 - 2024 IEEE Region 10 Conference (TENCON), Singapore, Singapore, 2024, pp. 335-338, doi: 10.1109/TENCON61640.2024.10902941."
"Multi-Modal Dysarthria Severity Assessment Using Dual-Branch Feature Decoupling Network and Mixed Expert Framework,","Dysarthria, a motor speech disorder resulting from neurological damage, significantly impairs an individual's ability to articulate words. Assessing the severity of dysarthria is crucial for effective therapeutic interventions and rehabilitation strategies. However, current methods are time-consuming and subjective, leading to potential inconsistencies. This study proposed a dual-branch feature decoupling network and mixed expert framework for the automatic diagnosis and assessment of dysarthria. The proposed hybrid network architecture integrates a ResNet-based branch for audio data with an attention module and a 3D ResNet branch for video data, and was evaluated on the Multimodal Dysarthria Severity Assessment Challenge (MDSA) dataset, achieving significant performance improvements and ranking first in the challenge with a best score of 8.7404. The study's findings highlight the efficacy of the proposed framework in capturing essential features from multimodal data, contributing to more accurate and reliable assessments of dysarthria.","keywords: {Measurement;Visualization;Three-dimensional displays;Accuracy;Neural networks;Network architecture;Motors;Acoustics;Complexity theory;Reliability;Multimodal Fusion;Dysarthria Severity Assessment;Convolutional Neural Network;Feature Decoupling Network},",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10800159&isnumber=10799969,"S. Liang and Y. Gu, ""Multi-Modal Dysarthria Severity Assessment Using Dual-Branch Feature Decoupling Network and Mixed Expert Framework,"" 2024 IEEE 14th International Symposium on Chinese Spoken Language Processing (ISCSLP), Beijing, China, 2024, pp. 126-130, doi: 10.1109/ISCSLP63861.2024.10800159."
"Spectral Analysis of Vowels and Fricatives at Varied Levels of Dysarthria Severity for Amyotrophic Lateral Sclerosis,","Dysarthria due to Amyotrophic Lateral Sclerosis (ALS) affects the acoustic characteristics of different speech sounds. The effects intensify with increasing severity leading to the collapse of the acoustic space of the affected individuals. With an aim to characterize such changes in the acoustic space, this paper studies the variations in band-specific and full-band spectral properties of 4 sustained vowels (/a/, /i/, /o/, /u/) and 3 sustained fricatives (/s/, /sh/, /f/) at different dysarthria severity levels. Effect of dysarthria on spectral features of these phonemes are not well explored. Statistical comparison of these features among different severities for the phonemes considered and among different vowels/fricatives for every severity level using speech data from 119 ALS and 40 healthy subjects indicate the followings. Though all band-specific and full-band features of the three fricatives and most of those features for the four vowels become statistically similar at high severity levels, certain features remain distinguishable. Spectral differences in 0-2 kHz band between /a/ and the other vowels and in the 2-6 kHz band between /a/ and /o/, /u/ persist through all severity levels. Moreover, properties of /f/ remain mostly unchanged with increasing dysarthria severity levels.","keywords: {Signal processing;Acoustics;Speech processing;Spectral analysis;Diseases;Amyotrophic Lateral Sclerosis;dysarthria;severity;vowels;fricatives},",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10448175&isnumber=10445803,"C. V. Thirumala Kumar et al., ""Spectral Analysis of Vowels and Fricatives at Varied Levels of Dysarthria Severity for Amyotrophic Lateral Sclerosis,"" ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), Seoul, Korea, Republic of, 2024, pp. 12767-12771, doi: 10.1109/ICASSP48485.2024.10448175."
"Advancing Speech Disorder Diagnostics: A Comprehensive Study on Dysarthria Classification with CNN,","This study article focuses on dysarthria, a speech problem that is often seen in patients with cerebral palsy (CP) or amyotrophic lateral sclerosis (ALS). Early identification of dysarthria is crucial for successful treatments and better patient outcomes, since it has a substantial influence on communication ability. Using the TORGO database, which consists of 2000 samples of persons with and without dysarthria, spanning different genders, the research use a Convolutional Neural Network (CNN) to classify speech. The dataset includes both dysarthric and non-dysarthric individuals of both genders, with 500 samples each, captured during separate sessions. The CNN-based technique demonstrates an impressive 96% accuracy in differentiating between dysarthric and non-dysarthric instances, highlighting the promise of deep learning technology in assisting with the early detection of dysarthria and enabling prompt therapies for afflicted people. This study makes significant contributions to the advancement of diagnostic capacities and presents a potential opportunity to improve the quality of life for those with speech difficulties.","keywords: {Deep learning;Cerebral palsy;Technological innovation;Accuracy;Databases;Medical treatment;Market research;Artificial Intelligence;Deep Learning;Convolutional Neural Network (CNN) model;Model Training;Dysarthria Classification},",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10673651&isnumber=10673418,"K. Mittal, K. Singh Gill, P. Aggarwal, R. Singh Rawat and G. Sunil, ""Advancing Speech Disorder Diagnostics: A Comprehensive Study on Dysarthria Classification with CNN,"" 2024 Asia Pacific Conference on Innovation in Technology (APCIT), MYSORE, India, 2024, pp. 1-5, doi: 10.1109/APCIT62007.2024.10673651."
